Collection,Name,Checkpoint
Part-A^2,parta2_hv_secfpn_8xb2-cyclic-80e_kitti-3d-car,./configs/parta2/./configs/parta2/hv_PartA2_secfpn_2x8_cyclic_80e_kitti-3d-car_20210831_022017-cb7ff621.pth
3DSSD,3dssd_4x4_kitti-3d-car,./configs/3dssd/./configs/3dssd/3dssd_4x4_kitti-3d-car_20210818_203828-b89c8fc4.pth
MVX-Net,dv_mvx-fpn_second_secfpn_adamw_2x8_80e_kitti-3d-3class,./configs/mvxnet/./configs/mvxnet/mvxnet_fpn_dv_second_secfpn_8xb2-80e_kitti-3d-3class-8963258a.pth
PAConv,paconv_ssg_8xb8-cosine-150e_s3dis-seg.py,./configs/paconv/./configs/paconv/paconv_ssg_8x8_cosine_150e_s3dis_seg-3d-13class_20210729_200615-2147b2d1.pth
PAConv,paconv_ssg-cuda_8xb8-cosine-200e_s3dis-seg,./configs/paconv/./configs/paconv/paconv_cuda_ssg_8x8_cosine_200e_s3dis_seg-3d-13class_20210802_171802-e5ea9bb9.pth
PointPillars,pointpillars_hv_regnet-400mf_secfpn_sbn-all_4x8_2x_nus-3d,./configs/regnet/./configs/regnet/hv_pointpillars_regnet-400mf_secfpn_sbn-all_4x8_2x_nus-3d_20200620_230334-53044f32.pth
PointPillars,pointpillars_hv_regnet-400mf_fpn_sbn-all_8xb4-2x_nus-3d,./configs/regnet/./configs/regnet/hv_pointpillars_regnet-400mf_fpn_sbn-all_4x8_2x_nus-3d_20200620_230239-c694dce7.pth
PointPillars,pointpillars_hv_regnet-1.6gf_fpn_sbn-all_8xb4-2x_nus-3d,./configs/regnet/./configs/regnet/hv_pointpillars_regnet-1.6gf_fpn_sbn-all_4x8_2x_nus-3d_20200629_050311-dcd4e090.pth
PointPillars,pointpillars_hv_regnet-400mf_secfpn_sbn-all_2x8_2x_lyft-3d,./configs/regnet/./configs/regnet/hv_pointpillars_regnet-400mf_secfpn_sbn-all_2x8_2x_lyft-3d_20210524_092151-42513826.pth
PointPillars,pointpillars_hv_regnet-400mf_fpn_sbn-all_2x8_2x_lyft-3d,./configs/regnet/./configs/regnet/hv_pointpillars_regnet-400mf_fpn_sbn-all_2x8_2x_lyft-3d_20210521_115618-823dcf18.pth
